id,nome,afiliado,lp,locadora,categoria,subcategoria,pais,tipo,mercado,local_id,local_nome,preco,quantidade
56750,Fiat Mobi,Rentcars (Mobile),0,Foco,Vehicle,Econômico,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),214.34,1
56751,Peugeot 208,Rentcars (Mobile),0,Foco,Vehicle,Econômico,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),229.3,1
7575,Volkswagen Polo,Rentcars (Mobile),0,Foco,Vehicle,Compacto,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),229.41,1
18590,Chevrolet Spin,Rentcars (Mobile),0,Foco,Vehicle,Minivan,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),1000.0,1
7507,Volkswagen T-Cross,Rentcars (Mobile),0,Foco,Vehicle,SUV,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),544.73,1
40807,Renault Kardian,Rentcars (Mobile),0,Foco,Vehicle,SUV,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),544.63,1
56747,Hyundai HB20S,Rentcars (Mobile),0,Foco,Vehicle,Intermediário,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),277.44,1
56748,Volkswagen Virtus,Rentcars (Mobile),0,Foco,Vehicle,Intermediário,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),359.5,1
56752,Fiat Cronos,Rentcars (Mobile),0,Foco,Vehicle,Intermediário,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),464.96,1
158,Volkswagen Polo,Rentcars (Mobile),0,Unidas,Vehicle,Econômico,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),289.92,1
12785,Fiat Mobi,Rentcars (Mobile),0,Unidas,Vehicle,Econômico,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),243.97,1
14181,Chevrolet Onix Plus,Rentcars (Mobile),0,Unidas,Vehicle,Econômico,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),305.08,1
26168,Hyundai HB20,Rentcars (Mobile),0,Unidas,Vehicle,Compacto,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),351.96,1
4717,Volkswagen T-Cross,Rentcars (Mobile),0,Unidas,Vehicle,SUV,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),534.46,1
26170,Volkswagen Nivus,Rentcars (Mobile),0,Unidas,Vehicle,SUV,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),519.6,1
5146,Fiat Cronos,Rentcars (Mobile),0,Unidas,Vehicle,Intermediário,Brasil,Domestic,BRAZIL,54,Aeroporto de Guarulhos ( Cumbica – Guarulhos),404.31,1
